id,team,season,games_played,wins,losses,ties,ots,points,regular_ot_wins,point_percent,goals_for,goals_allowed,shootout_win,goals_for_per_game,goals_allowed_per_game,pp_percent,pk_percent,shots_per_game,shots_allowed_per_game,faceoff_win_percent
199,Calgary Flames,2012-13,48,19,25,0,4,42,19,0.438,128,157,0,2.67,3.27,20,81.5,26.9,29.4,46.6
200,Florida Pathers,2012-13,48,15,27,0,6,36,12,0.375,109,170,3,2.27,3.54,20.4,74.2,29.2,31.3,49.4
201,Tampa Bay Lightning,2012-13,48,18,26,0,4,40,17,0.417,147,147,1,3.06,3.06,19,80.6,27.6,30.2,51.1
202,Los Angeles Kings,2012-13,48,27,16,0,5,59,25,0.615,131,114,2,2.73,2.38,19.9,83.2,29.8,25,52
203,Colorado Avalanche,2012-13,48,16,25,0,7,39,14,0.406,114,150,2,2.38,3.13,15,80.3,29.5,31.4,51.1
204,St. Louis Blues,2012-13,48,29,17,0,2,60,24,0.625,124,114,5,2.58,2.38,19.5,84.7,27.8,24.2,50.7
205,Winnipeg Jets,2012-13,48,24,21,0,3,51,22,0.531,126,141,2,2.63,2.94,13.8,79.7,28.9,29.7,48.9
206,Edmonton Oilers,2012-13,48,19,22,0,7,45,17,0.469,123,131,2,2.56,2.73,20.1,83.4,26.8,32.8,46.1
207,Minnesota Wild,2012-13,48,26,19,0,3,55,22,0.573,118,125,4,2.46,2.6,17.9,80.7,28.8,27.1,52.4
208,Carolina Hurricanes,2012-13,48,19,25,0,4,42,18,0.438,127,159,1,2.65,3.31,14.5,77.6,32.2,32.2,50.2
209,Ottawa Senators,2012-13,48,25,17,0,6,56,21,0.583,112,100,4,2.33,2.08,15.9,88,33.1,31.3,49.1
210,Chicago Blackhawks,2012-13,48,36,7,0,5,77,30,0.802,149,97,6,3.1,2.02,16.7,87.2,31.1,26.2,50.8
211,Dallas Stars,2012-13,48,22,22,0,4,48,20,0.5,128,141,2,2.67,2.94,17,81,26.3,31,47.2
212,Nashville Predators,2012-13,48,16,23,0,9,41,14,0.427,109,133,2,2.27,2.77,17.1,75.5,25.9,27.8,49.7
213,Calgary Flames,2011-12,82,37,29,0,16,90,34,0.549,199,217,3,2.43,2.65,17.7,84.3,27.5,30.8,46.2
214,New York Islanders,2011-12,82,34,37,0,11,79,27,0.482,196,251,7,2.39,3.06,18.5,80.5,29.4,30.1,48
215,Ottawa Senators,2011-12,82,41,31,0,10,92,35,0.561,243,236,6,2.96,2.88,18.1,81.6,31.4,32,50.1
216,Vancouver Canucks,2011-12,82,51,22,0,9,111,43,0.677,241,191,8,2.94,2.33,19.8,86,31.5,30.8,52.1
217,Detroit Red Wings,2011-12,82,48,28,0,6,102,39,0.622,239,200,9,2.91,2.44,16.1,81.8,32.2,27,51.6
218,Carolina Hurricanes,2011-12,82,33,33,0,16,82,32,0.5,212,237,1,2.59,2.89,16.7,80.5,30.5,32.4,50.7
219,Anaheim Ducks,2011-12,82,34,36,0,12,80,31,0.488,201,224,3,2.45,2.73,16.6,82,27.9,28.9,47.4
220,Pittsburgh Penguins,2011-12,82,51,25,0,6,108,42,0.659,273,218,9,3.33,2.66,19.7,87.8,33.9,27.4,50.4
221,Colorado Avalanche,2011-12,82,41,35,0,6,88,32,0.537,199,218,9,2.43,2.66,18.4,83,31.5,29.6,51.6
222,Philadelphia Flyers,2011-12,82,47,26,0,9,103,43,0.628,260,225,4,3.17,2.74,19.7,81.8,32.2,28.4,48.3
223,Nashville Predators,2011-12,82,48,26,0,8,104,43,0.634,232,205,5,2.83,2.5,21.6,83.6,27.6,30.8,49
224,St. Louis Blues,2011-12,82,49,22,0,11,109,45,0.665,206,155,4,2.51,1.89,16.7,85.8,30.6,26.7,50.4
225,New Jersey Devils,2011-12,82,48,28,0,6,102,36,0.622,216,205,12,2.63,2.5,17.2,89.6,27.5,26.8,47.1
226,Columbus Blue Jackets,2011-12,82,29,46,0,7,65,25,0.396,198,257,4,2.41,3.13,15.4,76.6,29.9,30.9,50.9
227,Arizona Coyotes,2011-12,82,42,27,0,13,97,36,0.591,210,194,6,2.56,2.37,13.5,85.5,29.6,31.6,50.1
228,Buffalo Sabres,2011-12,82,39,32,0,11,89,32,0.543,211,223,7,2.57,2.72,17.1,81.7,29.2,31.4,49.5
